x,y,N,E,S,W
0,0,Out,In,In,Out
2,0,Out,Out,Blank,Out
4,0,Out,Out,Blank,Out
6,0,In,Blank,Out,Blank
1,1,Out,Out,Blank,Out
3,1,In,In,Blank,In
5,1,Blank,Blank,Out,In
7,1,Out,Out,Blank,Out
0,2,Out,Out,Blank,Out
2,2,Out,Blank,In,Blank
4,2,Out,Blank,Out,Out
6,2,In,Out,Blank,Blank
1,3,Out,Blank,Out,Out
3,3,Blank,In,Blank,Out
5,3,Blank,In,Blank,Out
7,3,Blank,Blank,Blank,Blank
0,4,Blank,Out,Out,Out
2,4,Blank,Out,Out,Out
4,4,Blank,Out,In,Blank
6,4,In,Blank,In,In
1,5,In,Blank,Blank,Out
3,5,Blank,Out,In,Blank
5,5,Out,In,Blank,Blank
7,5,In,Out,In,Out
0,6,Out,Blank,Out,Out
2,6,Blank,Out,Blank,In
4,6,Out,In,In,Out
6,6,Blank,In,Out,Blank
1,7,Blank,In,In,In
3,7,Out,Blank,Out,Out
5,7,Out,Blank,Blank,In
7,7,In,Out,Out,In

