x,y,N,E,S,W
0,0,In,In,In,Blank
2,0,Blank,Blank,Blank,Blank
4,0,Blank,In,Blank,Out
6,0,In,In,Out,Out
1,1,Out,Blank,Out,Out
3,1,In,In,Blank,In
5,1,Blank,Blank,Out,In
7,1,Out,Blank,Out,Out
0,2,Out,Out,Blank,Out
2,2,Out,Blank,Out,Out
4,2,Out,In,In,Out
6,2,In,Out,Blank,Blank
1,3,Blank,Out,Blank,In
3,3,Out,In,Blank,Blank
5,3,Blank,In,Out,Blank
7,3,Out,In,Blank,Blank
0,4,Blank,Out,Out,Out
2,4,In,Out,Out,In
4,4,In,Blank,Blank,Out
6,4,Out,Out,In,In
1,5,Blank,In,Blank,Out
3,5,In,Blank,Blank,Out
5,5,Blank,In,Out,Blank
7,5,Out,Out,Blank,Out
0,6,In,Blank,Out,Blank
2,6,Blank,Out,Out,Out
4,6,Blank,Blank,Out,In
6,6,Out,Blank,In,Blank
1,7,Blank,In,In,In
3,7,In,In,Out,Out
5,7,In,Blank,Blank,Out
7,7,Blank,Blank,In,Out

