x,y,N,E,S,W
0,0,In,Out,Blank,Blank
2,0,Blank,Blank,In,Out
4,0,Out,Blank,Blank,In
6,0,In,Out,Out,In
1,1,Out,Out,Out,Blank
3,1,In,Blank,In,In
5,1,Blank,Out,Blank,In
7,1,Out,Blank,In,Blank
0,2,Blank,Out,Out,Out
2,2,Out,Out,Blank,Out
4,2,Blank,In,Blank,Out
6,2,In,Out,Blank,Blank
1,3,Blank,Out,Blank,In
3,3,Out,Blank,In,Blank
5,3,Blank,In,Out,Blank
7,3,Blank,Blank,Blank,Blank
0,4,Blank,Out,Out,Out
2,4,In,Out,Out,In
4,4,In,Out,Blank,Blank
6,4,Out,Out,In,In
1,5,In,Blank,Blank,Out
3,5,Out,Blank,Out,Out
5,5,Blank,Blank,Blank,Blank
7,5,Blank,Out,Out,Out
0,6,In,Blank,Out,Blank
2,6,Blank,In,Blank,Out
4,6,In,Out,Out,In
6,6,Out,Out,Out,Blank
1,7,Blank,Out,Blank,In
3,7,In,Blank,Out,Blank
5,7,Out,In,In,Out
7,7,Blank,In,In,In

