x,y,N,E,S,W
0,0,In,In,Blank,In
2,0,Out,Out,Out,Blank
4,0,Out,Blank,Blank,In
6,0,Out,Blank,Blank,In
1,1,In,Blank,Out,Blank
3,1,Blank,Blank,Out,In
5,1,Blank,Blank,Blank,Blank
7,1,In,Blank,Out,Blank
0,2,Blank,Out,Out,Out
2,2,Out,Blank,Blank,In
4,2,In,In,In,Blank
6,2,Out,Blank,In,Blank
1,3,In,Out,Out,In
3,3,Blank,In,Blank,Out
5,3,Out,In,Out,In
7,3,In,Out,Blank,Blank
0,4,Out,In,Blank,Blank
2,4,Blank,Out,Blank,In
4,4,Blank,Blank,Blank,Blank
6,4,Blank,Out,Blank,In
1,5,In,Blank,Blank,Out
3,5,Out,Blank,In,Blank
5,5,Out,Blank,Blank,In
7,5,Blank,Out,Blank,In
0,6,Out,Blank,Blank,In
2,6,Blank,In,Blank,Out
4,6,In,Out,Out,In
6,6,Out,In,Out,In
1,7,Blank,In,Blank,Out
3,7,In,Blank,Out,Blank
5,7,Out,In,In,Out
7,7,Blank,Out,In,Blank

