x,y,N,E,S,W
0,0,Out,Out,Blank,Out
2,0,Blank,Blank,In,Out
4,0,In,In,Blank,In
6,0,Out,Blank,Blank,In
1,1,Out,Out,Out,Blank
3,1,Blank,Blank,Blank,Blank
5,1,In,In,Out,Out
7,1,Blank,In,Out,Blank
0,2,Out,Out,Blank,Out
2,2,Out,Blank,In,Blank
4,2,Out,Out,Blank,Out
6,2,Out,Out,Blank,Out
1,3,Blank,In,Out,Blank
3,3,Out,In,In,Out
5,3,Blank,Out,In,Blank
7,3,In,Blank,Out,Blank
0,4,In,Out,In,Out
2,4,Out,Blank,In,Blank
4,4,In,Blank,Blank,Out
6,4,In,In,Out,Out
1,5,Blank,In,In,In
3,5,Blank,Out,Out,Out
5,5,Blank,Blank,In,Out
7,5,In,Out,Out,In
0,6,Out,Blank,Out,Out
2,6,Blank,In,In,In
4,6,Out,Out,In,In
6,6,Out,Blank,In,Blank
1,7,Blank,Blank,Out,In
3,7,Out,In,In,Out
5,7,Out,Blank,In,Blank
7,7,Out,Blank,Blank,In

