x,y,N,E,S,W
0,0,Out,Out,Blank,Out
2,0,Blank,Blank,In,Out
4,0,Out,Out,In,In
6,0,Out,Blank,In,Blank
1,1,Blank,Out,Out,Out
3,1,Blank,Blank,Blank,Blank
5,1,Blank,In,Out,Blank
7,1,Out,In,In,Out
0,2,Blank,In,In,In
2,2,Out,In,In,Out
4,2,Out,Out,In,In
6,2,Blank,Out,In,Blank
1,3,Out,In,Blank,Blank
3,3,Blank,Blank,In,Out
5,3,In,In,In,Blank
7,3,In,Blank,In,In
0,4,Out,Out,Blank,Out
2,4,Out,Blank,In,Blank
4,4,In,Out,In,Out
6,4,Blank,In,In,In
1,5,Blank,Blank,Out,In
3,5,In,Out,In,Out
5,5,Out,Blank,Out,Out
7,5,Blank,Blank,Out,In
0,6,Blank,Out,Blank,In
2,6,Blank,Blank,Out,In
4,6,Out,In,In,Out
6,6,In,Out,Out,In
1,7,Blank,Blank,Blank,Blank
3,7,Out,Out,Blank,Out
5,7,Out,In,Out,In
7,7,Blank,Blank,Blank,Blank

