x,y,N,E,S,W
0,0,In,Out,Out,In
2,0,In,Out,Blank,Blank
4,0,Blank,Out,Blank,In
6,0,Out,Out,Blank,Out
1,1,In,In,In,Blank
3,1,In,Out,Out,In
5,1,Blank,Out,Blank,In
7,1,In,Out,Out,In
0,2,Blank,Out,Blank,In
2,2,Blank,Out,Blank,In
4,2,In,Out,Blank,Blank
6,2,Blank,In,In,In
1,3,In,Out,Out,In
3,3,In,In,Blank,In
5,3,Out,Blank,Blank,In
7,3,In,Out,Blank,Blank
0,4,Out,In,Blank,Blank
2,4,Blank,Out,Blank,In
4,4,Blank,Blank,Blank,Blank
6,4,Blank,Out,Blank,In
1,5,In,Blank,Blank,Out
3,5,In,Out,Blank,Blank
5,5,Out,Blank,Blank,In
7,5,Blank,Out,Blank,In
0,6,Out,Blank,Blank,In
2,6,Out,Out,Blank,Out
4,6,In,Out,Blank,Blank
6,6,Out,In,Out,In
1,7,Blank,Blank,Blank,Blank
3,7,In,In,Blank,In
5,7,Out,Out,In,In
7,7,In,Out,In,Out

